id,name,domain,tech_op,idx_type,subline_tech_op
1587,火箭升空,港股,,TECH_SPECIAL,
1588,烘云托月,港股,,TECH_SPECIAL,
1593,短线回调,港股,,TECH_SPECIAL,
1594,短线多头,港股,,TECH_SPECIAL,
1595,短线窥测,港股,"[""死叉"",""金叉""]",TECH_LINES,
1597,短线超卖,港股,,TECH_SPECIAL,
1598,"短线超跌 ",港股,,TECH_SPECIAL,
1599,秋影金波,港股,,TECH_SPECIAL,
1600,空中加油,港股,,TECH_SPECIAL,
1603,"穿头破脚 ",港股,,TECH_SPECIAL,
1604,突出重围,港股,,TECH_SPECIAL,
1608,突破压力位,港股,,TECH_SPECIAL,
1609,突破平台,港股,,TECH_SPECIAL,
1737,缩量跌停,股票,,TECH_SPECIAL,
1612,箱体突破,港股,,TECH_SPECIAL,
1615,红三兵,港股,,TECH_SPECIAL,
1616,红二兵,港股,,TECH_SPECIAL,
1618,红四兵,港股,,TECH_SPECIAL,
1625,缩量,港股,,TECH_SPECIAL,
1626,缩量拉高,港股,,TECH_SPECIAL,
1627,老鸭头,港股,,TECH_SPECIAL,
1628,聚宝盆,港股,,TECH_SPECIAL,
1629,股价高于前期放量股价,港股,,TECH_SPECIAL,
1630,薛斯通道,港股,"[""上穿下轨"",""突破下轨"",""突破上轨""]",TECH_LINES,
1631,蛟龙出海,港股,,TECH_SPECIAL,
1632,蜻蜓点水,港股,,TECH_SPECIAL,
1633,行情开盘价,港股,"[""上穿""]",TECH_A_LINE,
1634,行情成交量,港股,"[""低位"",""上穿""]",TECH_A_LINE,
1635,行情收盘价,港股,"[""下破"",""低位"",""上穿"",""中位"",""高位"",""上移""]",TECH_A_LINE,
1636,行情最低价,港股,,TECH_A_LINE,
1637,行情最新价,港股,"[""回踩""]",TECH_A_LINE,
1638,行情最高价,港股,,TECH_A_LINE,
1639,贝塔系数,港股,,TECH_LINES,
1646,超级短线波段,港股,,TECH_SPECIAL,
1647,趋势拐点,港股,,TECH_SPECIAL,
1651,跳空低开,港股,,TECH_SPECIAL,
1652,跳空高开,港股,,TECH_SPECIAL,
1653,身怀六甲,港股,,TECH_SPECIAL,
1655,连续拉升,港股,,TECH_SPECIAL,
1657,量价巨增,港股,,TECH_SPECIAL,
1658,量价背离,港股,,TECH_SPECIAL,
1659,量顶天立地,港股,,TECH_SPECIAL,
1660,金蜘蛛,港股,,TECH_SPECIAL,
1661,"金针探底 ",港股,,TECH_SPECIAL,
1662,"锤子线 ",港股,,TECH_SPECIAL,
1663,长上影线,港股,,TECH_SPECIAL,
1664,长下影线,港股,,TECH_SPECIAL,
1666,长期横盘,港股,,TECH_SPECIAL,
1668,"长线超跌 ",港股,,TECH_SPECIAL,
1669,长阳重炮,港股,,TECH_SPECIAL,
1670,阳包阴,港股,,TECH_SPECIAL,
1671,阳盖阴,港股,,TECH_SPECIAL,
1672,阳线,港股,,TECH_SPECIAL,
1673,"阴包阳 ",港股,,TECH_SPECIAL,
1674,阴线,港股,,TECH_SPECIAL,
1675,阶段平台整理,港股,,TECH_SPECIAL,
1676,阶段抄底,港股,,TECH_SPECIAL,
1677,阶段放量,港股,,TECH_SPECIAL,
1678,阶段突破平台,港股,,TECH_SPECIAL,
1679,阶段缩量,港股,,TECH_SPECIAL,
1683,青龙取水,港股,,TECH_SPECIAL,
1685,顶部放量,港股,,TECH_SPECIAL,
1689,高位收阴,港股,,TECH_SPECIAL,
1690,高位横盘,港股,,TECH_SPECIAL,
1693,高开,港股,,TECH_SPECIAL,
